area,count_area,min_price,max_price,avg_price,std_price,area_abbr,avg_age,std_age
Heights/Greater Heights,243,249999,2800000,726025,428718,H/GH,1983,42
Northwest Houston,160,115000,1368150,317628,173930,NWH,1996,33
East End Revitalized,137,149999,1200000,369657,129834,EER,1978,40
Northside,128,105000,810000,302111,135326,NHSD,1965,38
Rice Military/Washington Corridor,120,325000,1425000,604010,218994,RM/WC,2006,22
Brays Oaks,119,187500,579000,328332,88203,BRAO,1963,8
Montrose,109,389000,3399000,862685,467510,MONT,1987,41
Bellaire Area,109,329500,1999999,1025535,433973,BELA,1991,26
Galleria,104,289060,2999000,878833,478532,GALA,1999,21
University Area,103,75000,875000,303370,140177,UA,1973,36
Energy Corridor,99,239000,2195000,492149,295008,EC,1986,16
Meyerland Area,92,259900,1299000,480400,185344,MEYA,1967,16
Medical Center South,89,63900,350000,192799,61436,MDCS,1980,32
Rice/Museum District,75,349900,10900000,1284365,1330796,R/MD,1989,34
Denver Harbor,67,98450,489000,243429,98609,DNHA,1980,36
River Oaks Area,65,789000,7995000,3259321,1659739,ROA,1990,32
Oak Forest East Area,65,258000,1325000,679853,303709,OFEA,1990,32
West University/Southside Area,59,425000,4199000,1620457,857397,WU/SS,1994,28
Willow Meadows Area,58,170000,1045000,421950,182341,WMA,1966,22
Tanglewood Area,57,569000,8999000,2567940,1650723,TWA,1992,22
